"","caller","correct.cases","all.cases","accuracy","range.assign.low","range.assign.high","mean.assign","median.assign","range.call.low","range.call.high","mean.call","median.call"
"1","alana",212,251,0.844621513944223,0,0.905172413793103,0.261034482758621,0,0,0.929203539823009,0.222204344328238,0
"2","beast",12,42,0.285714285714286,0,0.5,0.21031746031746,0.166666666666667,0,0.714285714285714,0.222222222222222,0.142857142857143
"3","creep",492,1069,0.460243217960711,0,0.523900573613767,0.279407273199084,0.318181818181818,0,0.697201017811705,0.249167804134485,0.141414141414141
"4","kazul",39,135,0.288888888888889,0,0.545454545454545,0.208567821067821,0.1625,0,0.461538461538462,0.186415558126084,0.140977443609023
"5","lurch",11,24,0.458333333333333,0.266666666666667,0.777777777777778,0.522222222222222,0.522222222222222,0.388888888888889,0.666666666666667,0.527777777777778,0.527777777777778
"6","mochi",56,128,0.4375,0,0.5875,0.277465986394558,0.2,0,0.681159420289855,0.25049476312264,0.176470588235294
"7","yikes",952,2037,0.467353951890034,0,0.539522058823529,0.264243167159817,0.25,0,0.778514588859416,0.270632326632042,0.104430379746835
